Name,Calcium,Calories,Cholesterol,Contains,Dietary Fiber,Dietary Fiber <,Ingredients,Iron,Potas.,Protein,Protein <,Saturated Fat,Serving Size,Sodium,Total Carbohydrate,Total Fat,Total Sugars,Total Sugars <,Trans Fat,Vit. D
Vegetable Beef Soup,17mg,60,10mg,Wheat,,1g,"Water, Celery, Chopped(Celery), Stew Meat, Small Diced(Beef Stew Meat), Potatoes, Bakers, Diced(Potato), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Carrots, Fresh, Sliced, Green Bean (Frozen)(Green Beans), Onions, Canola Oil(Canola Oil), Beef Base(Salt, Corn Starch, Sugar, Wheat Flour, Palm Oil, Monosodium Glutamate, Dehydrated Onions, Dextrose, Caramel Color, Cellulose Fibers, Dehydrated Parsley, Artificial Flavorings (Contain Celery), Beet Fibers, Turmeric Extract (For Color), Cumin, Rosemary Extract (To Help Protect Flavor). May Contains Sesame Seeds and Soy.), Fresh Herbs(Parsley), Kosher Salt(Kosher Salt)",0.37mg,130mg,3g,,0.5g,6 oz Ladle (157g),360mg,5g,3.5g,1g,,0g,
Arroz con Leche (v),172mg,190,20mg,Milk,0g,,"Whole Milk(Milk, vitamin D3), Long Grain Rice(Long grain white rice, enriched with niacin, iron (ferric orthophosphate), thiamine (thiamine mononitrate), and folic acid.), Sweetened Condensed Milk(Concentrated whole milk and sugar.), Spices, Water",0.65mg,240mg,5g,,3g,1/2 Cup (116g),65mg,31g,5g,22g,,0g,0.8mcg
Spicy Black Bean Soup (vgn),27mg,90,0mg,,5g,,"Water, Black Bean(Black Beans), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Onions, Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Jalapeno(Jalapeno), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Peeled Garlic Clove, Fresh Herbs(Cilantro), Kosher Salt(Kosher Salt), Spices(Black Cumin Seed), Spices(Black Pepper)",1.23mg,230mg,5g,,0g,6 oz Ladle (175g),90mg,13g,2g,,1g,0g,0mcg
Lentil Soup (vgn),20mg,90,0mg,,5g,,"Water, French Green Lentil(Lentil), Diced Potato(Potato), Celery(Celery), Onions, Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Wine Vinegar(Red Wine Vinegar, Potassium Metabisulfite, Diluted With Water To 5% Acidity.), Peeled Garlic Clove, Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Kosher Salt(Kosher Salt), Spices(Black Pepper), Spices(Whole Bay Leaves)",2.12mg,280mg,6g,,0g,6 oz Ladle (196g),50mg,15g,0.5g,2g,,0g,0mcg
Oatmeal (vgn),12mg,90,0mg,"Oats, Wheat",2g,,"Rolled Oatmeal(100% Natural Rolled Oats. May Contain Milk, Sesame, Soy, Tree Nuts, Wheat.), Kosher Salt(Kosher Salt), Water",1.18mg,90mg,3g,,1.5g,1/2 Cup (131g),65mg,16g,2g,0g,,0g,0mcg
White Bean Basque Soup (vgn),55mg,80,0mg,,4g,,"Water, White Navy Bean(Small White Beans), Celery(Celery), Butternut Squash(Butternut Squash), Onions, Green Cabbage(Green Cabbage), Red Bell Pepper, Chopped, Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Spices(Fennel Seed), Peeled Garlic Clove, Spices(Thyme Leaves), Spices(Black Pepper), Spices(Saffron)",1.27mg,260mg,3g,,0g,6 oz. Ladle (213g),30mg,12g,2g,2g,,0g,0mcg
Curried Chicken Soup,65mg,160,40mg,"Milk, Soy, Wheat",,1g,"Water, Milk, Homognzed, Hot *ccp(Milk, vitamin D3), Halal Chicken Thigh(Halal Chicken Thigh), Half & Half, Hot *ccp(Half & Half, Sodium Citrate, Datem, Tetra, Sodium Pyrophosphate, Carregeenan.), Onions, Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Carrots, Minced, Celery, Minced(Celery), White Rice, Raw(Long Grain Parboiled White Rice OR Long Grain Parboiled Rice Enriched With Iron (Ferric Phosphate), Niacin,Thiamine, Mononitrate & Folic Acid), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Chicken Base(Roasted Chicken, Salt, Sugar, Hydrolyzed Corn Protein, Contains 2% Or Less Of Chicken Fat, Onion Powder, Disodium Inosinate, Disodium Guanylate, Extractive of Turmeric (Color), Spice Extractive. OR Roasted Chicken, Salt, Hydrolyzed Corn Protein, Sugar, Chicken Fat, Maltodextrin, Containes 2% or less of Yeast Extract, Onion Powder, Disodium Inosinate, Disodium Guanylate, Turmeric (Color), Natural Flavoring, Extractive Of Annatto (Color).), Spices(Coriander, Fenugreek, Turmeric, Cumin, Black Pepper, Bay Leaves, Celery Seed, Nutmeg, Cloves, Onion, Red Pepper, And Ginger), Spices(Basil Leaves)",0.83mg,160mg,8g,,5g,6 oz Ladle (207g),300mg,10g,10g,3g,,0g,0.5mcg
7 Grain Hot Cereal (vgn),72mg,420,0mg,"Oats, Soy, Wheat",8g,,"Hot Grain Cereal(Whole grain oats, brown rice, corn, soy beans, millet, sorghum, oat bran, sunflower seeds, flaxseed. OR Whole Grain Hard Red Wheat, Rye, Oats, Triticale, Barley, Brown Rice, Oat Bran, Flaxseed . May contain tree nuts.), Kosher Salt(Kosher Salt), Water",3.00mg,440mg,14g,,0g,1/2 Cup (114g),40mg,81g,7g,0g,,0g,0mcg
Chicken Noodle Soup,16mg,70,30mg,"Eggs, Soy, Wheat",,1g,"Water, Egg Noddles(Semolina (wheat), durum flour (wheat), egg yolk, niacin, ferrous sulfate (iron), thiamin mononitrate, riboflavin, folic acid. OR Durum flour (wheat), niacin, iron (ferrous sulfate) thiamin mononitrate, riboflavin and folic acid. May contain eggs. OR Durum Wheat Semolina, Egg Yolk, Niacin, Ferrous Sulfate (Iron), Thiamin Mononitrate, Riboflavin, Folic Acid), Halal Chicken Thigh(Halal Chicken Thigh), Jumbo Carrot, Celery(Celery), Onions, Chicken Base(Roasted Chicken, Salt, Sugar, Hydrolyzed Corn Protein, Contains 2% Or Less Of Chicken Fat, Onion Powder, Disodium Inosinate, Disodium Guanylate, Extractive of Turmeric (Color), Spice Extractive. OR Roasted Chicken, Salt, Hydrolyzed Corn Protein, Sugar, Chicken Fat, Maltodextrin, Containes 2% or less of Yeast Extract, Onion Powder, Disodium Inosinate, Disodium Guanylate, Turmeric (Color), Natural Flavoring, Extractive Of Annatto (Color).), Kosher Salt(Kosher Salt), Spices(Ground White Pepper)",0.57mg,115mg,5g,,0.5g,6 oz Ladle (176g),330mg,8g,2g,2g,,0g,0.0mcg
Potato Leek Soup (v),65mg,110,5mg,"Milk, Soy, Wheat",,1g,"Water, Milk(Milk, vitamin D3), Baker Potato(Potato), Leek(Leek), Margarine (vgn)(Oil blend (palm, soybean, canola, and olive oils), water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural &artificial flavor, potassium sorbate and calcium disodium edta (to preserve freshness), lactic acid, vitamin a palmitate, beta-carotene color. OR Palm oil, water, soybean oil, contains less than 2% of salt, whey, vegetable mono & diglycerides, soy lecithin, artificial flavor, beta carotene (color), vitamin A palmitate added.), Onions, Flour, All Purpose(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Mirepoix Base(Sauteed Pureed Carrots, Celery, and Onions (With Canola Oil),Salt, Sugar, Hydrolyzed Corn Protein, Onion Powder, Yeast Extract, Food Starch - Modified, Carrot Powder, Turmeric (Color), Spice Extractives, Citric Acid.), Kosher Salt(Kosher Salt), Spices(Ground White Pepper)",0.33mg,200mg,2g,,2.5g,6 oz Ladle (193g),280mg,12g,6g,3g,,0g,0.4mcg
