id,Name,Calcium_mg,Calories,Cholesterol <_mg,Cholesterol_mg,Contains,Dietary Fiber <_g,Dietary Fiber_g,Ingredients,Iron_mg,Potas._mg,Protein_g,Saturated Fat_g,Serving Size,Sodium_mg,Total Carbohydrate <_g,Total Carbohydrate_g,Total Fat_g,Total Sugars <_g,Total Sugars_g,Trans Fat_g,Vit. D_mcg
202,Rotisserie Chicken,33.0,360,,170.0,,,0.0,"Halal Whole Chicken(Halal Chicken), Spices(Granulated garlic), Spices(Salt, spices (including black pepper), citric acid, onion, sugar, garlic, calcium stearate, silicon dioxide and calcium silicate (to make free flowing), lemon oil & riboflavin (color)), Kosher Salt(Kosher Salt), Spices(Black Pepper), Spices(Tarragon)",2.52,480.0,55.0,4.0,Piece (192g),510.0,1.0,,14.0,,0.0,,0.2
203,Potato Gorda with Corn (v),193.0,190,,20.0,Milk,,2.0,"Potato, Peeled(Potato), Cheddar Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial), Annatto Color), Green Chilies(Diced green chile peppers, water, salt, citric acid, calcium chloride.), Masa Harina(White Corn Masa Flour, Sodium Propionate (Preservative), Cellulose Gum, Fumaric Acid (Acidulant)), Corn (vgn)(Corn), Feta Cheese (v)(Pasteurized Whole Milk, Salt, Cheese cultures and Enzymes (microbial rennet) natamycin to protect flavor.), Yellow Crookneck Squash, Zucchini Squash, Onions(Red Onion), Jumbo Carrot, Fresh Herbs(Cilantro), Serrano Chile(Chile Serrano), Baking Powder Double Acting(Baking Soda (For Leavening) Cornstarch, Sodium Aluminum Sulfate (For Leavening), Calcium Sulfate, Monocalcium Phosphate (For Leavening).), Kosher Salt(Kosher Salt), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Spices(Marjoram Leaves)",0.76,350.0,7.0,3.5,Gorda (135g),430.0,,27.0,7.0,,2.0,0.0,0.1
204,Baby Carrots with Tarragon (vgn),64.0,80,,0.0,Soy,,4.0,"Whole Baby Carrot (Frozen)(Carrots), Margarine (vgn)(Oil blend (palm, soybean, canola, and olive oils), water, contains less than 2% of salt, enzyme-modified soybean lecithin, natural &artificial flavor, potassium sorbate and calcium disodium edta (to preserve freshness), lactic acid, vitamin a palmitate, beta-carotene color. OR Palm oil, water, soybean oil, contains less than 2% of salt, whey, vegetable mono & diglycerides, soy lecithin, artificial flavor, beta carotene (color), vitamin A palmitate added.), Water, Spices(Tarragon), Kosher Salt(Kosher Salt)",0.03,240.0,1.0,1.5,1/2 Cup (113g),135.0,,8.0,5.0,,5.0,0.0,0.0
205,Fettuccine (vgn),8.0,170,,0.0,Wheat,,2.0,"Fettuccine Pasta(Semolina (wheat), durum wheat flour, vitamin b3 (niacin), iron (ferrous sulfate), vitamin b1 (thiamine mononitrate), vitamin b2 (riboflavin), folic acid. May contain eggs.), Water",1.09,35.0,6.0,0.0,1/3 Cup (85g),0.0,,32.0,1.0,1.0,,0.0,0.0
206,White Wine Garlic Sauce with Chicken,77.0,170,,45.0,"Milk, Wheat",,0.0,"Whole Milk(Milk, vitamin D3), Heavy Cream(Milk, cream), Chicken Breast Boneless/Skinless Random(Boneless, skinless chicken breast filets with rib meat.), White Cooking Wine(Wine, Water, Neutral Spirits (Corn), Salt, Tartaric Acid, Citric Acid, Potassium Sorbate (Preservative), Potassium Metabisulfite (Preservative), Caramel Color (Corn).), Canola Oil(Canola Oil), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Garlic, Kosher Salt(Kosher Salt), Spices(Ground White Pepper)",0.2,160.0,7.0,6.0,3 oz Ladle (96g),100.0,,5.0,14.0,,3.0,0.0,0.7
207,Whole Wheat Pasta Rigate (vgn),0.0,150,,0.0,Wheat,,4.0,"Whole Wheat Rigate Penne Pasta(Whole Wheat Durum Flour, Durum Wheat Semolina, Niacin, Ferrous Sulfate (Iron), Thiamin Mononitrate, Riboflavin, Folic Acid), Water",1.7,60.0,6.0,0.0,1/3 Cup (85g),0.0,,30.0,1.5,1.0,,0.0,0.0
208,Garden Vegetable Marinara (vgn),27.0,30,,0.0,,,1.0,"Tomato Sauce(Vine-Ripened Fresh Tomatoes, Salt, Onion Powder, Garlic Powder, Red Pepper And Naturally Derived Citric Acid. May Contain Shellfish, Eggs, Fish, Milk, Peanuts, Sesame, Soy, Tree Nuts, Wheat. OR Tomatoes, Salt, Dehydrated Onions, Dehydrated Garlic, Spices, Natural Flavorings, Sweet Bell Pepper, Citric Acid.), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Fresh Herbs(Parsley), Fennel(Anise Fennel), Broccoli Florette (vgn), Carrot, Chopped, Zucchini Squash, Green Bell Pepper(Bell Pepper), Onions, Fresh Herbs, Leek(Leek), Extra Virgin Olive Oil (vgn)(Extra virgin olive oil), Fresh Herbs(Parsley), Peeled Garlic Clove, Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Spices(Crushed Red Pepper Flake), Spices(Whole Bay Leaves)",0.68,260.0,1.0,0.0,3 oz Ladle (84g),180.0,,5.0,1.0,,3.0,0.0,0.0
209,Whole Wheat Sourdough Bread (v),6.0,130,,0.0,Wheat,,3.0,"Water, Hi-Gluten Flour(Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Ascorbic Acid, Thiamin Mononitrate, Riboflavin, Folic Acid. Ascorbic Acid Added As A Dough Conditioner. OR Wheat Flour, Vitamin C (Ascorbic Acid added as a dough conditioner), Enzyme (added for improved baking), Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid.), Whole Wheat Flour, Sourdough Mix(Wheat Flour, Salt, Fumaric Acid, Sodium Diacetate, Datem, Lactic Acid, Ascorbic Acid, Enzymes.), Honey (v), Dry Active Yeast(Yeast, Sorbitan Monostearate OR Large Flake Inactive Nutritional Yeast)",1.54,80.0,5.0,0.5,Slice (57g),210.0,,27.0,1.0,,2.0,,0.0
210,Black Forest Cake (v),100.0,460,,60.0,"Eggs, Milk, Soy, Wheat",,3.0,"Heavy Cream(Milk, cream), Granulated Sugar (vgn)(Sugar), Cherry Pie Filling(Cherries, High Fructose Corn Syrup, Water, Modified Food Starch, Gellan Gum, Citric Acid, Salt, Potassium Sorbate (A Preservative), Natural Flavor, Artificial Color (Red 40). OR Cherries, High Fructose Corn Syrup, Sugar, Water, Modified Food Starch, Sodium Benzoate A Preservative, Salt, Natural Flavors And Artificial Color (Red 40) OR Cherries, Sugar, High Fructose Cor Syrup, Modified Food Starch, Contains 2% or Less of Sodium Benzoate (Preservatives), Salt, Natural Flavors, Artificial Color (Red 40)), Homogenized Milk(Milk, vitamin D3), Water, Boiling, All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Canola Oil(Canola Oil), Bkrs Unswt Cocoa(100% Cocoa), Fresh Cage Free Egg(Egg), Brandy(Brandy-Alcoholic Beverage, Distilled, All (Gin, Rum, Vodka, Whiskey) 80 Proof), Flavorings(Water, Propylene Glycol, Caramel Color and Artificial Flavors.), Chocolate Callet Curl Blosm Dark(Sugar, unsweetened chocolate, cocoa butter, soy lecithin (an emulsifier), natural vanilla flavor.), Baking Powder Double Acting(Baking Soda (For Leavening) Cornstarch, Sodium Aluminum Sulfate (For Leavening), Calcium Sulfate, Monocalcium Phosphate (For Leavening).), Baking Soda(Sodium bicarbonate), Salt (vgn)(Salt, Yellow Prussiate Of Soda.)",3.48,160.0,5.0,10.0,Slice (169g),280.0,,59.0,25.0,,43.0,0.5,0.9
211,Pork Fried Rice,41.0,260,,50.0,"Eggs, Milk, Pork, Soy",,1.0,"Long Grain Rice(Long grain white rice, enriched with niacin, iron (ferric orthophosphate), thiamine (thiamine mononitrate), and folic acid.), Pork Butt Boneless(Pork), Fresh Cage Free Egg(Egg), Bean Sprout (vgn)(Bean Sprout), Scallions, Chopped(Green Onion), Canola Oil(Canola Oil), Leek(Leek), Frozen Peas, Thawed(Green Peas), Peeled Garlic Clove, Ginger Root, Low Sodium Tamari Soy Sauce (vgn)(Water, Soybeans, Salt, Sugar, Alcohol, Vinegar, Lactic Acid. OR Water, Soybeans, Salt, Alcohol (To Preserve Freshness), Lactic Acid, Rice Vinegar. May Contain Shellfish, Eggs, Fish, Milk, Sesame.), Sherry Cooking Wine(Wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate (preservative), potassium metabisulfite (preservative).), Spices(Ground White Pepper), Beef Base(Roasted Beef and Beef Broth, Salt, Hydrolyzed Corn Protein, Caramel Color (Class 1), Sugar, Onion Powder, Beef Fat, Potato Starch, Yeast Extract, Disodium Inosinate, Disodium Guanylate, Spice Extractive.), Water",2.82,190.0,12.0,2.0,3/4 Cup (172g),40.0,,31.0,9.0,1.0,,0.0,0.4
212,Vegetable Beef Soup,19.0,70,,10.0,"Milk, Soy",1.0,,"Water, Celery, Chopped(Celery), Stew Meat, Small Diced(Beef Stew Meat), Potatoes, Bakers, Diced(Potato), Long Grain Rice(Long grain white rice, enriched with niacin, iron (ferric orthophosphate), thiamine (thiamine mononitrate), and folic acid.), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Carrots, Fresh, Sliced, Green Bean (Frozen)(Green Beans), Onions, Beef Base(Roasted Beef and Beef Broth, Salt, Hydrolyzed Corn Protein, Caramel Color (Class 1), Sugar, Onion Powder, Beef Fat, Potato Starch, Yeast Extract, Disodium Inosinate, Disodium Guanylate, Spice Extractive.), Canola Oil(Canola Oil), Fresh Herbs(Parsley), Kosher Salt(Kosher Salt)",0.49,135.0,3.0,0.5,6 oz. Ladle (161g),430.0,,6.0,3.5,,1.0,0.0,0.0
213,Beef Meatloaf,48.0,200,,70.0,"Eggs, Fish, Milk, Oats, Soy, Wheat",1.0,,"Ground Beef *ccp(Ground Beef), Milk *ccp(Milk, vitamin D3), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Onions, Tomato Sauce(Vine-Ripened Fresh Tomatoes, Salt, Onion Powder, Garlic Powder, Red Pepper And Naturally Derived Citric Acid. May Contain Shellfish, Eggs, Fish, Milk, Peanuts, Sesame, Soy, Tree Nuts, Wheat. OR Tomatoes, Salt, Dehydrated Onions, Dehydrated Garlic, Spices, Natural Flavorings, Sweet Bell Pepper, Citric Acid.), Fresh Cage Free Egg(Egg), Carrots, Chopped Fine, Old Fashion Oatmeal(Whole Grain Rolled Oats), Jumbo Carrot, Water, Worcestershire Sauce(Water, Vinegar, Corn Syrup, High Fructose Corn Syrup, Molasses, Salt, Caramel Color, Natural & Artifical Flavors, Corn Starch, Spices, Onion Powder, Garlic Powder, Tamarind, Citric Acid, Sodium Benzoate (preservative), Sulfiting Agent.), Beef Base(Roasted Beef and Beef Broth, Salt, Hydrolyzed Corn Protein, Caramel Color (Class 1), Sugar, Onion Powder, Beef Fat, Potato Starch, Yeast Extract, Disodium Inosinate, Disodium Guanylate, Spice Extractive.), Peeled Garlic Clove, White Pullman Bread (vgn), Celery Salt(Salt and celery seed. OR Salt, Celery Seed and not more than 2% Tricalcium Phosphate (added to prevent caking).), Fresh Herbs(Oregano), Kosher Salt(Kosher Salt), Fresh Herbs(Thyme), Spices(Black Pepper), Spices(Parsley Flake), Spices(Thyme Leaves), Spices(Nutmeg), Spices(Ground White Pepper), Bread Sourdough Sliced Oval, Sourdough English Muffin (vgn)(Unbleached Enriched Flour (Wheat Flour, Malted Barely Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Water, Yeast, Sugar, Calcium Sulfate (Source of Calcium), Wheat Gluten, Sea Salt, Partially Hydrogenated Soybean And/or Cottonseed Oil, Yellow Corn Flour, Corn Meal, Fumaric Acid, Lactic Acid, Datem, Calcium Propionate (to Retard Spoilage), Calcium Peroxide, Ascorbic Acid OR), Wheat Bread (vgn)(Whole wheat flour, water, liquid sugar, wheat gluten, yeast, contains 2% of less of each of: soybean oil and/or canola oil, sea salt, dough conditioners (may contain one or more of sodium stearoyl lactylate, ethoxylated mono- and diglycerides monocalcium phosphate, calcium sulfate, ascorbic acid), mono- and diglycerides, calcium propionate (added to retard spoilage), vinegar, enzymes. OR Bleached Wheat Flour (Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Invert Sugar, Whole Wheat Flour, Soybean/Cotton Seed Oil Blend, Yeast, Wheat Gluten, Cracked Wheat, Crushed Red Wheat, Rolled Oats, Salt, Oat Bran, Wheat Bran, Carmel Color, Soy Lecithin, Calcium Propionate, Ascorbic Acid, Enzymes)",2.03,290.0,17.0,4.0,Piece (113g),300.0,,6.0,11.0,,2.0,,0.2
214,Fresh Vegetable Medley (vgn),27.0,35,,,,,2.0,"Zucchini Squash, Jumbo Carrot, Cauliflower Florette (vgn)(Cauliflower), Onions, Leek(Leek), Celery, 3/8"" Diced(Celery), Bell Peppers, 3/8"" Diced(Bell Pepper), Canola Oil(Canola Oil), Kosher Salt(Kosher Salt), Spices(Black Pepper)",0.48,290.0,1.0,,1/2 Cup (118g),35.0,,7.0,,,4.0,,
215,French Cut Green Beans (vgn),52.0,40,,0.0,,,3.0,"Whole Green Bean (Frozen)(Green Beans), Water",1.37,210.0,1.0,0.0,1/2 Cup (114g),0.0,,7.0,0.0,,3.0,0.0,0.0
216,Risotto with Fresh Vegetables (vgn),19.0,120,,0.0,Soy,,3.0,"Water, Arborio Rice(Super Fine Italian Rice. Or Arborio Rice.), Chablis White Wine(Sauterne wine, salt, potassium metabisulfite (preservative). potassium sorbate (preservative)), Broccoli, Chopped, Onions, Mushrooms, #2, Diced(Mushroom), Green Peppers, Diced(Bell Pepper), Red Bell Pepper, Diced, Fresh Herbs(Parsley), Roasted Vegetable Base(A Blend of Vegetables [Purees (Carrot, Celery, Onion, Sauteed Onion, Red Bell Pepper), Dehydrated (Tomato, Carrots, Green Bell Pepper, Onion), Juices (Onion, Garlic, Shallot, Carrot)], Sugar, Salt, Yeast Extract, Hydrolyzed Corn Protein, Contains 2% Or Less Of The Following: Maltodextrin, Canola Oil, Natural Flavors, Disodium Inosinate, Disodium Guanylate, Spice, Red Wine Concentrate, Hydrolyzed Soy Protein.), Fresh Herbs(Thyme)",0.81,115.0,2.0,0.0,Cup (263g),25.0,,23.0,0.0,1.0,,0.0,0.5
217,Mashed Potatoes (v),22.0,130,,15.0,Milk,,2.0,"Potato, 6-8 Bakers E.p.(Potato), Whole Milk(Milk, vitamin D3), Heavy Cream(Milk, cream), Butter Solid 1# Print(Pasteurized Cream, Salt), Kosher Salt(Kosher Salt), Spices(Black Pepper)",0.3,380.0,2.0,3.5,1/2 Cup (113g),85.0,,20.0,5.0,,1.0,0.0,0.2
218,Whole Wheat Penne Pasta (vgn),13.0,100,,0.0,Wheat,,4.0,"Whole Wheat Rigate Penne Pasta, Water",0.9,35.0,4.0,0.0,1/3 Cup (85g),200.0,,22.0,0.0,1.0,,,0.0
219,Chicken Sausage & Mushroom Sauce,37.0,160,5.0,,,,1.0,"Tomato Sauce(Vine-Ripened Fresh Tomatoes, Salt, Onion Powder, Garlic Powder, Red Pepper And Naturally Derived Citric Acid. May Contain Shellfish, Eggs, Fish, Milk, Peanuts, Sesame, Soy, Tree Nuts, Wheat. OR Tomatoes, Salt, Dehydrated Onions, Dehydrated Garlic, Spices, Natural Flavorings, Sweet Bell Pepper, Citric Acid.), Diced Tomato(Vine-Ripened Fresh Peeled Tomatoes, Tomato Juice, Salt, And Calcium Chloride.), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Medium Mushroom(Mushroom), Italian Chicken Sausage(Chicken, Water, Seasoning (Sea Salt, Spices [Including Fennel & Pepper], Sugar, Spice Extractives, Oleoresin of Paprika, Oil of Orange), and Vinegar), Onions, Fresh Herbs, Peeled Garlic Clove, Extra Virgin Olive Oil (vgn)(Extra virgin olive oil), Fresh Herbs(Parsley), Spices(Oregano Leaves), Spices(Basil Leaves), Spices(Thyme), Spices(Crushed Red Pepper Flake), Spices(Marjoram Leaves), Spices(Whole Bay Leaves)",1.15,220.0,2.0,1.0,3 oz. Ladle (83g),180.0,,4.0,16.0,,2.0,0.0,0.0
220,Pasta Primavera (v),68.0,290,,0.0,"Milk, Wheat",,4.0,"Pasta Cellentani(Semolina (Wheat), Durum Wheat Flour, Vitamin B3 (Niacin), Iron (Ferrous Sulfate), Vitamin B1(Thiamine Mononitrate), Vitamin B2 (Riboflavin), Folic Acid.), All Roma Tomatoes(Tomato), Onions, Parsnip(Parsnip), Broccoli, Floettes, Jumbo Carrot, Fennel(Anise Fennel), Grated Parmesan Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial).), Peeled Garlic Clove, Chablis White Wine(Sauterne wine, salt, potassium metabisulfite (preservative). potassium sorbate (preservative)), Fresh Herbs, Leek(Leek), Fresh Herbs(Parsley), Fresh Herbs(Parsley), Kosher Salt(Kosher Salt), Spices(Ground White Pepper), Water",2.46,300.0,11.0,0.5,3/4 Cup (205g),100.0,,55.0,2.5,,3.0,0.0,0.0
221,Chicken Florentine Pizza w/White Sauce,188.0,270,,35.0,"Fish, Milk, Soy, Wheat",,1.0,"Hi-Gluten Flour(Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Ascorbic Acid, Thiamin Mononitrate, Riboflavin, Folic Acid. Ascorbic Acid Added As A Dough Conditioner. OR Wheat Flour, Vitamin C (Ascorbic Acid added as a dough conditioner), Enzyme (added for improved baking), Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid.), Warm Water, Mozzerella, Shredded(Cultured Pasteurized Part-Skim Milk, Salt and Enzymes (Microbial).), Halal Chicken Thigh(Halal Chicken Thigh), Heavy Cream(Milk, cream), Chopped Spinach (Frozen)(Spinach), Milk *ccp(Milk, vitamin D3), Grated Parmesan Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial).), Mature Mushroom #2(Mushroom), Extra Virgin Olive Oil (vgn)(Extra virgin olive oil), White Wine(Sauterne wine, salt, potassium metabisulfite (preservative). potassium sorbate (preservative)), Peeled Garlic Clove, Granulated Sugar (vgn)(Sugar), Nonfat Dry Milk(Instant Nonfat Dry Milk), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Spices(Granulated garlic), Salt (vgn)(Salt, Yellow Prussiate Of Soda.), Fresh Herbs, Dry Active Yeast(Yeast, Sorbitan Monostearate OR Large Flake Inactive Nutritional Yeast), Worcestershire Sauce(Water, Vinegar, Corn Syrup, High Fructose Corn Syrup, Molasses, Salt, Caramel Color, Natural & Artifical Flavors, Corn Starch, Spices, Onion Powder, Garlic Powder, Tamarind, Citric Acid, Sodium Benzoate (preservative), Sulfiting Agent.), Spices(Ground White Pepper), Tabasco Sauce (vgn)(Distilled vinegar, red pepper, salt.), Kosher Salt(Kosher Salt), Spices(Black Pepper)",1.95,140.0,14.0,5.0,Slice (114g),290.0,,29.0,11.0,,2.0,0.0,0.5
222,Black Olive Pizza on Wheat (v),158.0,230,,10.0,"Milk, Wheat",,3.0,"Water, Whole Wheat Flour(Whole Wheat Flour), Pizza Sauce(Vine- ripened fresh tomatoes, salt, and basil.), Mozzerella Cheese *ccp(Cultured Pasteurized Part-Skim Milk, Salt and Enzymes (Microbial).), Hi-Gluten Flour(Bleached Wheat Flour, Malted Barley Flour, Niacin, Iron, Ascorbic Acid, Thiamin Mononitrate, Riboflavin, Folic Acid. Ascorbic Acid Added As A Dough Conditioner. OR Wheat Flour, Vitamin C (Ascorbic Acid added as a dough conditioner), Enzyme (added for improved baking), Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid.), Sliced Olive (vgn)(Ripe Olives, Water, Sea Salt, Ferrous Gluconate (Added To Stabilize Color)), Parmesan Cheese *ccp(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial).), Canola Oil(Canola Oil), Honey (v), Peeled Garlic Clove, Fennel Fresh(Anise Fennel), Green Bell Pepper(Bell Pepper), Onions, Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Dry Active Yeast(Yeast, Sorbitan Monostearate OR Large Flake Inactive Nutritional Yeast), Salt (vgn)(Salt, Yellow Prussiate Of Soda.), Fresh Herbs, Kosher Salt(Kosher Salt), Spices(Crushed Red Pepper Flake), Spices(Oregano Leaves), Spices(Black Pepper)",1.26,260.0,10.0,3.0,Slice (101g),440.0,,27.0,9.0,,3.0,0.0,0.1
223,Cornbread with Honey Butter (v),119.0,210,,45.0,"Eggs, Milk, Wheat",1.0,,"Whole Milk (v)(Milk, Vitamin D3), All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Yellow Cornmeal(Yellow Cornmeal - Made From Degerminated Yellow Corn), Fresh Cage Free Egg(Egg), Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Granulated Sugar (vgn)(Sugar), Butter Solid 1# Print(Pasteurized Cream, Salt), Honey (v), Baking Powder Double Acting(Baking Soda (For Leavening) Cornstarch, Sodium Aluminum Sulfate (For Leavening), Calcium Sulfate, Monocalcium Phosphate (For Leavening).), Salt (vgn)(Salt, Yellow Prussiate Of Soda.)",1.4,55.0,4.0,6.0,Slice (67g),240.0,,26.0,10.0,,7.0,0.0,0.4
224,Devil's Food Cake with Icing (v),74.0,520,,50.0,"Eggs, Milk, Soy, Wheat",,4.0,"Devil's Food Cake Mix(Sugar, Enriched Flour Bleached (Wheat Flour, niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Palm Oil, Dextrose, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate). Contains 2% or Less of: Modified Corn Starch, Propylene Glycol Mono and Diesters, Corn Starch, Maltodextrin, Egg White, Salt, Mono and Diglycerides, Sodium Caseinate, Dicalcium Phosphate, Cellulose Gum, Soy Lecithin, Whey, Sodium Phosphate, Datem, Natural Flavor), Powdered Sugar(Sugar, Corn Starch), Water, Fresh Cage Free Egg(Egg), Unsweetened Chocolate(Chocolate. May Contain Milk.), Whole Milk(Milk, vitamin D3), Canola Oil(Canola Oil), Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Flavorings(Water, Propylene Glycol, Caramel Color and Artificial Flavors.)",3.91,340.0,6.0,9.0,Slice (158g),510.0,,77.0,22.0,,57.0,0.0,0.4
225,White Bean Basque Soup (vgn),54.0,70,,0.0,Soy,,4.0,"Water, White Navy Bean(Small White Beans), Celery(Celery), Butternut Squash(Butternut Squash), Onions, Green Cabbage(Green Cabbage), Red Bell Pepper, Chopped, Roasted Vegetable Base(A Blend of Vegetables [Purees (Carrot, Celery, Onion, Sauteed Onion, Red Bell Pepper), Dehydrated (Tomato, Carrots, Green Bell Pepper, Onion), Juices (Onion, Garlic, Shallot, Carrot)], Sugar, Salt, Yeast Extract, Hydrolyzed Corn Protein, Contains 2% Or Less Of The Following: Maltodextrin, Canola Oil, Natural Flavors, Disodium Inosinate, Disodium Guanylate, Spice, Red Wine Concentrate, Hydrolyzed Soy Protein.), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Spices(Fennel Seed), Peeled Garlic Clove, Spices(Thyme Leaves), Spices(Black Pepper), Spices(Turmeric), Spices(Saffron)",1.29,260.0,3.0,0.0,6 oz. Ladle (213g),30.0,,12.0,2.0,,2.0,0.0,0.0
226,BBQ Chicken Sandwich,13.0,190,,35.0,"Soy, Wheat",,1.0,"Halal Chicken Thigh(Halal Chicken Thigh), Plain Hamburger Bun (vgn)(Bleached Wheat Flour (Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Invert Sugar, Yeast, Soybean/Cotton Seed Oil Blend, Salt, Wheat Gluten, Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Sunflower Oil (Added as A Processing Aid To Reduce Dust), Ascorbic Acid, Calcium Propionate, Malted Barley, Unbleached Wheat Flour, Enzymes, Citric Acid. May Contain Sesame.), Barbecue Sauce (vgn)(Tomato Paste, High Fructose Corn Syrup, Corn Syrup, Water, Distilled Vinegar, Molasses, Salt, Mustard Bran, Natural Hickory Smoke Flavor, Spices, Onion Powder, Sodium Benzoate (As A Preservative), Garlic Powder, Caramel Color, Sugar And Natural Flavors.)",1.3,160.0,13.0,1.0,1/2 Sandwich (91g),380.0,,23.0,5.0,,7.0,0.0,6.3
227,Stir Fry Vegetables (vgn),56.0,50,,0.0,,,3.0,"Cauliflower Florette (vgn)(Cauliflower), Broccoli, In Flowerettes, Carrots, Sliced, Red Bell Pepper (vgn), Mushrooms, Sliced(Mushroom), Peeled Shallot, White Wine(Sauterne wine, salt, potassium metabisulfite (preservative). potassium sorbate (preservative)), Peeled Garlic Clove, Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Spices(Basil Leaves), Spices(Oregano Leaves), Kosher Salt(Kosher Salt), Spices(Black Pepper)",1.21,370.0,2.0,0.0,1/2 Cup (117g),140.0,,9.0,1.0,,2.0,0.0,0.0
228,Wild and Long Grain Rice Blend (vgn),12.0,90,,0.0,,1.0,,"Long Grain Rice(Long grain white rice, enriched with niacin, iron (ferric orthophosphate), thiamine (thiamine mononitrate), and folic acid.), Wild Rice(Wild Rice), Water",1.19,55.0,3.0,0.0,1/2 Cup (81g),55.0,,20.0,0.0,,0.0,0.0,0.0
229,Buttermilk Pancake (v),17.0,90,5.0,,"Eggs, Milk, Soy, Wheat",,0.0,"Water, Pancake Mix(Enriched Bleached Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Dextrose, Leavening (Baking Soda, Sodium Aluminum Phosphate, Monocalcium Phosphate), Salt, Defatted Soy Flour, Soybean Oil, Buttermilk. OR Enriched Flour (Wheat Flour, Niacin, Iron, Thiamin Mononitrate, Riboflavin, Folic Acid), Sugar, Dextrose, Palm Oil, Leavening (Baking Soda, Sodium Acid Pyrophosphate, Monocalcium Phosphate). Contains 2% Or Less Of: Buttermilk, Salt, Eggs With Sodium Silicoaluminate, Soy Flour. Contains Wheat, Milk, Egg And Soy Ingredients. CATERING ONLY : Bleached Wheat Flour (enriched with niacin, iron, thiamine mononitrate, riboflavin, malted barely and folic acid), Corn flour, Dextrose, Whey (milk), Soybean Oil (citric acid added as preservative), Leavening (Sodium bicarbonate, sodium acid pyrophosphate, monocalcium phosphate, sodium aluminum phosphate), Salt, Butter Milk. Contains Wheat and Milk), Canola Oil(Canola Oil)",0.76,0.0,2.0,1.0,Pancake (85g),280.0,,15.0,2.5,,3.0,0.0,0.0
230,Grilled Ham with Honey Glaze,2.0,120,,55.0,"Pork, Wheat",,0.0,"Ham (Deli) (Pit)(Ham cured with water, salt, dextrose, sugar, sodium phosphate, sodium erythorbate, sodium nitrite and flavorings.), Crushed Pineapple(Pineapple, Pineapple Juice, Citric Acid), Pineapple Juice(Pineapple Juice, Ascorbic Acid (Vitamin C), Vitamin E, and Vitamin A. OR Pineapple juice, ascorbic acid (vitamin C)), zHoney Glaze, Cornstarch(Corn starch)",0.05,15.0,15.0,1.0,3 oz (97g),990.0,,5.0,3.0,,4.0,0.0,
