id,Name,Calcium_mg,Calories,Cholesterol <_mg,Cholesterol_mg,Contains,Dietary Fiber <_g,Dietary Fiber_g,Ingredients,Iron_mg,Potas._mg,Protein_g,Saturated Fat_g,Serving Size,Sodium_mg,Total Carbohydrate <_g,Total Carbohydrate_g,Total Fat_g,Total Sugars <_g,Total Sugars_g,Trans Fat_g,Vit. D_mcg
11,Ginger with Cardamom Scone (v),116.0,300,,70.0,"Eggs, Milk, Wheat",1.0,,"All Purpose Flour(Bleached wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid.), Unsalted Butter (v)(Pasteurized Cream, Natural Flavors (Lactic Acid, Starter Distillate)), Fresh Cage Free Egg(Egg), Crystalized Ginger(Ginger, Sugar, Sulphur Dioxide), Granulated Sugar (vgn)(Sugar), Nonfat Plain Yogurt(Cultured Grade A Pasteurized Nonfat Milk, Nonfat Milk, Pectin, Carrageenan.), Baking Powder Double Acting(Baking Soda (For Leavening) Cornstarch, Sodium Aluminum Sulfate (For Leavening), Calcium Sulfate, Monocalcium Phosphate (For Leavening).), Salt (vgn)(Salt, Yellow Prussiate Of Soda.), Spices(Ground Cardamom)",1.4,35.0,4.0,9.0,Scone (78g),190.0,,35.0,16.0,,11.0,0.0,0.2
12,Sliced Genoa Salami,1.0,30,,10.0,Pork,,0.0,"Genoa Salami(Pork, Beef, Salt, 2% or less of Dextrose, Spices, Ascorbic Acid, Spice Extractives, Lactic Acid Starter Culture, Garlic, Sodium Nitrite.)",0.12,30.0,2.0,0.5,Slice (8g),120.0,,0.0,2.0,,0.0,0.0,0.0
13,Sliced Ham,0.0,35,,20.0,Pork,,0.0,"Football Ham(Ham cured with water, salt, dextrose, sugar, sodium phosphate, sodium erythorbate, sodium nitrite and flavorings.)",0.0,0.0,5.0,0.0,Slice (28g),330.0,,1.0,1.0,,1.0,0.0,0.0
14,Sliced Jack Cheese (v),106.0,50,,15.0,Milk,,0.0,"Cheese, Jack(Monterey Jack Cheese (Pateurized Milk, Cheese Cultures, Salt, Enzymes (microbial).)",0.11,10.0,3.0,2.5,Slice (14g),85.0,,0.0,4.5,,0.0,0.0,0.1
15,Sliced Cheddar Cheese (v),150.0,90,,20.0,Milk,,0.0,"Cheddar Cheese (v)(Pasteurized Milk, Cheese Culture, Salt, Enzymes (Microbial), Annatto Color)",0.03,15.0,5.0,4.0,Slice (21g),140.0,,0.0,7.0,,0.0,0.0,0.1
16,Sticky Rice (vgn),1.0,70,,0.0,,1.0,,"Calrose Rice(Calrose Rice (Medium Grain White), Enriched With Iron (Ferric Orthophosphate), Niacin, Thiamine (Thiamine Mononitrate), And Folate.), Water",0.1,5.0,1.0,0.0,1/2 Cup (71g),0.0,,15.0,0.0,,0.0,0.0,0.0
17,Chicken Stir Fry with Green Beans,28.0,140,,45.0,Soy,,1.0,"Halal Chicken Thigh(Halal Chicken Thigh), Fresh Green Bean(Green Bean), Onions, Water, Red Bell Pepper (vgn), Brown Sugar (vgn)(Brown Sugar (Cane Sugar, Cane Syrups)), Sherry Cooking Wine(Wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate (preservative), potassium metabisulfite (preservative).), Olive/Canola Oil Blend(Canola oil, virgin olive oil, beta-carotene (color)), Cornstarch(Corn starch), Low Sodium Tamari Soy Sauce (vgn)(Water, Soybeans, Salt, Sugar, Alcohol, Vinegar, Lactic Acid. OR Water, Soybeans, Salt, Alcohol (To Preserve Freshness), Lactic Acid, Rice Vinegar. May Contain Shellfish, Eggs, Fish, Milk, Sesame.), Chili Garlic Paste(Salted Chili Peppers (Chili Peppers, Salt), Water, Sugar, Rice Vinegar, Dehydrated Garlic, Modified Corn Starch, Acetic Acid. OR Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate And Sodium Bisulfite As Preseravtives, Xanthan Gum.), Peeled Garlic Clove, Ginger Root",1.11,210.0,14.0,1.5,1/2 Cup (139g),75.0,,8.0,6.0,,3.0,0.0,0.0
18,Spicy Tofu w/Vegetables & Noodles (vgn),29.0,150,,0.0,"Sesame, Soy, Wheat",,3.0,"Yaki Soba Noodle(Enriched Wheat Flour [Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate (Vitamin B1), Riboflavin (Vitamin B2), Folic Acid], Water, Wheat Gluten, Salt, Potassium Carbonate, FD & C Yellow # 5 & #6, and Soybean Oil.), Tofu (vgn)(Water, Soybeans, Calcium Sulfate), Bok Choy, Chinese Snow Pea(Chinese Snow Pea), Green Onion(Green Onion), Mature Mushroom #2(Mushroom), Water, Sesame Oil(Sesame oil (made from toasted white sesame seeds).), Canola Oil(Canola Oil), Ginger Root, Cornstarch(Corn Starch), Chili Garlic Paste(Salted Chili Peppers (Chili Peppers, Salt), Water, Sugar, Rice Vinegar, Dehydrated Garlic, Modified Corn Starch, Acetic Acid. OR Chili, Salt, Garlic, Distilled Vinegar, Potassium Sorbate And Sodium Bisulfite As Preseravtives, Xanthan Gum.), Mushroom Base(Fresh Mushrooms Sauteed In Canola Oil, Salt, Hydrolyzed Wheat Gluten, Sugar, Hydrolyzed Torula And Brewers Yeast Protein, Contains 2% Or Less Of The Following: Food Starch - Modified, Onion Powder, Caramel Color, Xanthan Gum, Disodium Inosinate, Disodium Guanylate, Natural Mushroom Flavor [With Natural Flavors, Soy Sauce [Water, Wheat, Soybeans, Salt, Lactic Acid]].), Low Sodium Tamari Soy Sauce (vgn)(Water, Soybeans, Salt, Sugar, Alcohol, Vinegar, Lactic Acid. OR Water, Soybeans, Salt, Alcohol (To Preserve Freshness), Lactic Acid, Rice Vinegar. May Contain Shellfish, Eggs, Fish, Milk, Sesame.)",84.39,135.0,5.0,1.0,3/4 Cup (166g),105.0,,22.0,7.0,,2.0,0.0,0.5
19,Smoked Pork Loin and Gouda Sandwich,1543.0,3020,,600.0,"Eggs, Milk, Pork, Soy, Wheat",,10.0,"Pork Loin Boneless(Pork), French Baguette(Unbleached flour, Malt, Improve200 (Clean conditioner), Vegetable Shortening, Brown sugar, Salt, Yeast and Water. Breads and other products may contain soy, milk, eggs, dairy products, and nuts. Breads and other products may contain soy, milk, eggs, dairy products, and nuts.), Cheese Gouda Smoked (v)(Cow’s Milk, Salt, Starter Culture, Rennet, Color: Annatto, Catotene), Water, Butter, Emulsifying Salt: (Sodium Polyphosphate, Monosodium Phosphate), Corn Starch, Natural Smoke.), Canola Oil(Canola Oil), Peeled Garlic Clove, Fresh Herbs(Cilantro), Chile Chipotle In Adobo Sauce(Chipotle peppers, water, tomato puree, corn oil, corn starch, salt, vinegar, caramel color, onion powder, garlic powder, spices. OR Chipotle peppers, water, tomato puree, vinegar, salt, sugar, garlic, and canola oil. OR Water, Tomato Paste, Dried Chipotle Peppers, Distilled Vinegar, Corn Oil, Contains 2% or less of Iodized Salt (Contains Potassium Iodate), Corn Starch, Onion Powder, Garlic Powder, Spices.), Kosher Salt(Kosher Salt), Lemons, Mayonnaise (v)(Soybean Oil, Water, Egg Yolks, Distilled Vinegar, High Fructose Corn Syrup, Contains Less Than 2% Of Salt, Spice, Lemon Juice Concentrate, Calcium Disodium Edta Added To Protect Flavor. Contains: Egg.)",14.33,2520.0,227.0,53.0,Baguette (1163g),5330.0,,246.0,121.0,,16.0,5.0,3.1
20,Red Salsa (vgn),3.0,5,,,,,,"Tomatoes, Serrano Chile(Chile Serrano), Water, Peeled Garlic Clove, Kosher Salt(Kosher Salt), Spices(Black Pepper)",0.06,55.0,,,1 oz Ladle (28g),,,1.0,,,,,
